Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,
C10,0603,1,2.2µF,
C11,0603,1,15pF,
C12,0603,1,15pF,
C13,1206,1,4.7μF,
C14,0603,1,1µF,
C15,0603,1,1µF,
C16,0603,1,47nF,
C17,0603,1,47nF,
C18,1206,1,2.2µF,
C19,0603,1,1µF,
C2,0603,1,100nF,
C20,0603,1,10µF,
C21,0603,1,10µF,
C22,0603,1,100nF,
C23,0603,1,1µF,
C24,0603,1,100nF,
C25,0603,1,100nF,
C26,0603,1,10µF,
C27,0603,1,1nF,
C28,0603,1,1nF,
C29,0603,1,1nF,
C3,0603,1,100nF,
C30,0805,1,1µF,
C31,0805,1,1µF,
C32,0805,1,1µF,
C33,0805,1,10µF,
C34,0805,1,10µF,
C35,0805,1,10µF,
C36,0805,1,10µF,
C37,0805,1,10µF,
C38,0805,1,10µF,
C39,1210,1,10µF,
C4,0603,1,100nF,
C40,1210,1,10µF,
C41,1210,1,10µF,
C42,1210,1,10µF,
C43,1210,1,10µF,
C44,1210,1,10µF,
C45,1210,1,10µF,
C46,1210,1,10µF,
C47,1210,1,10µF,
C48,1210,1,10µF,
C49,1210,1,10µF,
C5,0603,1,100nF,
C50,1210,1,10µF,
C51,0603,1,100nF,
C52,0603,1,100nF,
C6,0603,1,100nF,
C7,0603,1,1µF,
C8,0603,1,4.7µF,
C9,0603,1,2.2µF,
D1,0603,1,Red,
D2,0603,1,Green,
D3,0603,1,Blue,
D4,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B,
F1,1206,1,500mA,C841189
FB1,0603,1,330Ω @ 100MHz,C35327
H1,MountingHole_2.5mm_Pad,1,H1,
H2,MountingHole_2.5mm_Pad,1,H2,
H3,MountingHole_2.5mm_Pad,1,H3,
H4,MountingHole_2.5mm_Pad,1,H4,
HSE1,TAXM8M4RDBCCT2T,1,8Mhz,C400090
J1,XT30PW-M,1,Power Conn A,
"J10, J20",PowerPad,2,Rx,
J11,PowerPad,1,H,
J12,PowerPad,1,SCL,
"J13, J21",PowerPad,2,Tx,
J14,PowerPad,1,L,
"J15, J9",PowerPad,2,SDA,
J16,JST1.25_3PH,1,Comm Conn A,
J17,JST1.25_3PH,1,RS232 Conn,
J18,JST1.25_3PH,1,Conn Comn B,
J19,PowerPad,1,CRTL,
J2,PowerPad,1,DIR PAD,
J3,PowerPad,1,STEP PAD,
J4,XT30PW-M,1,Power Conn B,
J5,SolderRescue,1,LOOP PIN,
J6,PinHeader_1x04_P2.00mm_Vertical,1,Prog conn,
J7,SolderRescue,1,CAN_RX,
J8,SolderRescue,1,CAN_TX,
Q1,SSOT-3,1,FDN352AP,
"Q2, Q3, Q4, Q5, Q6, Q7",BSC022N04LS6ATMA1,6,BSC022N04LS,
R1,0603,1,1KΩ,
R10,0603,1,10KΩ,
"R11, R12, R13",CurrentSense,3,2mΩ,
R14,0603,1,10KΩ,
R15,0603,1,120Ω,
R16,0603,1,10KΩ,
R2,0603,1,10KΩ,
R3,0603,1,10K,
R4,0603,1,220Ω,
R5,0603,1,100Ω,
R6,0603,1,10KΩ,
R7,0603,1,20KΩ,
R8,0603,1,2KΩ,
R9,0603,1,10KΩ,
SW1,SimplePushButton,1,Reset Push,
TP1,MinimalTP,1,INH_A_TP,
"TP10, TP11",MinimalTP,2,INL_C_TP,
TP12,MinimalTP,1,mFAULT,
TP13,MinimalTP,1,MOSI_ENC,
TP14,MinimalTP,1,MISO_ENC,
TP15,MinimalTP,1,CLK_ENC,
TP16,MinimalTP,1,CS_ENC,
TP17,MinimalTP,1,ENC PWM,
TP18,MinimalTP,1,SENSE A,
TP19,MinimalTP,1,SENSE C,
TP2,MinimalTP,1,CS,
TP20,MinimalTP,1,SENSE B,
TP3,MinimalTP,1,INL_A_TP,
TP4,MinimalTP,1,MOSI,
TP5,MinimalTP,1,INH_B_TP,
TP6,MinimalTP,1,MISO,
TP7,MinimalTP,1,INL_B_TP,
TP8,MinimalTP,1,CLK,
TP9,MinimalTP,1,INH_C_TP,
U1,TO114P998X235-5,1,BD33C0AWFP,
"U10, U12, U8, U9",PowerPad,4,Power24VPad,
U11,PowerPad,1,PowerPad I2C,
U13,MinimalPhasePad,1,PhaseA,
U14,MinimalPhasePad,1,PhaseB,
U15,MinimalPhasePad,1,PhaseC,
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,
U3,QFP50P900X900X120-49N,1,DRV8305,LCSC Part #
U4,SOP-8_3.9x4.9mm_P1.27mm,1,LM75B,
U5,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD231,C12084
U6,TSSOP-14_4.4x5mm_P0.65mm,1,AS5048A,C2655181
U7,MiniLogo,1,Logo,
