Designator,Mid X,Mid Y,Rotation,Layer
C1,160.35,-112.75,180.0,bottom
C10,156.9,-98.0375,270.0,bottom
C11,158.45,-116.75,90.0,bottom
C12,152.3125,-117.875,0.0,bottom
C13,117.8,-105.2,90.0,top
C14,120.6405,-109.247,0.0,top
C15,120.6405,-110.835,0.0,top
C16,120.905,-105.985,0.0,top
C17,120.8275,-103.41,180.0,top
C18,119.905,-101.43,180.0,top
C19,120.735,-99.46,180.0,top
C2,145.1875,-109.7,0.0,bottom
C20,122.195,-96.39,270.0,bottom
C21,117.22,-99.565,270.0,bottom
C22,144.51,-81.89,270.0,bottom
C23,136.99,-108.37,90.0,top
C24,136.14,-82.2025,270.0,bottom
C25,134.97,-101.17,270.0,bottom
C26,134.97,-97.75,90.0,bottom
C27,135.73,-101.21,0.0,top
C28,135.7175,-102.88,0.0,top
C29,135.7375,-104.55,0.0,top
C3,146.19,-101.5825,270.0,bottom
C30,123.83,-93.88,90.0,top
C31,135.49,-93.88,90.0,top
C32,150.3,-93.88,90.0,top
C33,145.67,-85.64,0.0,top
C34,118.61,-89.45,180.0,top
C35,161.75,-88.825,0.0,top
C36,118.6,-86.6,180.0,top
C37,161.74,-86.53,0.0,top
C38,145.7,-88.57,0.0,top
C39,157.662,-100.8995,90.0,top
C4,158.5,-98.0625,270.0,bottom
C40,157.65,-105.962,90.0,top
C41,161.222,-111.062,90.0,top
C42,150.52,-105.962,90.0,top
C43,161.222,-105.962,90.0,top
C44,157.65,-111.062,90.0,top
C45,154.12,-100.8995,90.0,top
C46,154.12,-105.962,90.0,top
C47,150.52,-100.8995,90.0,top
C48,161.222,-100.8995,90.0,top
C49,154.12,-111.062,90.0,top
C5,150.0125,-116.35,0.0,bottom
C50,150.52,-111.062,90.0,top
C51,157.35,-116.0225,270.0,top
C52,123.02,-116.9975,270.0,top
C6,161.5,-110.236,270.0,bottom
C7,150.0125,-114.8,0.0,bottom
C8,145.2125,-111.3,0.0,bottom
C9,144.69,-101.6275,270.0,bottom
D1,120.6405,-112.61,180.0,top
D2,118.03,-98.31,90.0,top
D3,139.95,-109.15,0.0,top
D4,125.515,-116.96,0.0,top
F1,118.895,-96.515,0.0,bottom
FB1,122.17,-99.64,90.0,bottom
HSE1,156.05,-116.49,270.0,bottom
J1,131.5,-77.62,0.0,top
J10,149.47,-72.35,0.0,top
J11,127.43,-71.79,0.0,top
J12,154.98,-74.8,0.0,top
J13,147.85,-72.36,0.0,top
J14,129.26,-72.11,0.0,top
J15,151.18,-72.32,0.0,top
J16,127.962,-75.05,0.0,bottom
J17,149.387,-75.05,0.0,bottom
J18,138.175,-75.05,0.0,bottom
J19,145.38,-75.44,0.0,top
J2,152.15,-97.0,0.0,top
J20,143.04,-102.93,0.0,top
J21,141.58,-103.82,0.0,top
J3,150.55,-96.9,0.0,top
J4,149.35,-77.62,0.0,top
J5,145.29,-116.09,0.0,top
J6,162.23,-91.4,0.0,top
J7,132.65,-75.2,0.0,bottom
J8,136.2,-79.62,0.0,bottom
J9,156.72,-74.86,0.0,top
Q1,119.72,-99.69,270.0,bottom
Q2,123.81,-86.34,270.0,top
Q3,141.02,-86.37,270.0,top
Q4,156.25,-86.38,270.0,top
Q5,129.54,-86.35,90.0,top
Q6,135.27,-86.35,90.0,top
Q7,150.39,-86.4,90.0,top
R1,123.5,-112.66,90.0,top
R10,135.37,-109.385,270.0,top
R11,128.86,-93.88,180.0,top
R12,140.23,-93.88,180.0,top
R13,155.13,-93.88,180.0,top
R14,131.49,-78.115,90.0,bottom
R15,123.0,-76.565,270.0,bottom
R16,155.76,-116.015,270.0,top
R2,125.1,-112.66,90.0,top
R3,163.05,-109.675,90.0,bottom
R4,153.6,-115.3,270.0,bottom
R5,120.755,-107.56,0.0,top
R6,161.35,-100.05,180.0,bottom
R7,120.905,-97.86,0.0,top
R8,139.9,-107.45,0.0,top
R9,161.35,-101.6,0.0,bottom
SW1,150.8,-115.98,0.0,top
TP1,128.33,-115.15,0.0,top
TP10,128.55,-116.7,0.0,top
TP11,132.45,-114.05,0.0,top
TP12,129.5,-111.78,0.0,top
TP13,147.94,-101.18,180.0,bottom
TP14,146.76,-96.94,180.0,bottom
TP15,146.11,-98.46,180.0,bottom
TP16,148.41,-98.06,180.0,bottom
TP17,138.7,-98.25,90.0,top
TP18,134.87,-106.89,0.0,top
TP19,138.57,-105.88,0.0,top
TP2,140.25,-111.65,0.0,top
TP20,136.79,-106.38,0.0,top
TP3,138.98,-116.73,0.0,top
TP4,135.851,-112.970511,0.0,top
TP5,131.05,-116.05,0.0,top
TP6,138.7,-111.0,0.0,top
TP7,134.2,-115.56,0.0,top
TP8,132.06,-111.26,0.0,top
TP9,137.5,-114.61,0.0,top
U1,120.03,-108.235,270.0,bottom
U10,142.95,-76.79,0.0,top
U11,139.36,-76.7,0.0,top
U12,156.22,-76.33,0.0,top
U2,153.940707,-106.599293,90.0,bottom
U3,128.623,-105.622,90.0,top
U4,149.21,-82.8,180.0,bottom
U5,131.54,-82.43,180.0,bottom
U6,140.047973,-99.690707,180.0,bottom
U7,136.936907,-98.193225,180.0,top
U8,126.08,-76.5,0.0,top
U9,136.87,-76.95,0.0,top
